date,site_number,TSP,CM,SD,NO2,OZ,PM10,PM2.5
1/1/24,1023,0.0045,NA,NA,NA,NA,NA,NA
1/7/24,1023,0.0015,NA,NA,NA,NA,NA,NA
1/13/24,1023,0.022,NA,NA,NA,NA,NA,NA
1/19/24,1023,0.0195,NA,NA,NA,NA,NA,NA
1/25/24,1023,0.0085,NA,NA,NA,NA,NA,NA
1/31/24,1023,0.042,NA,NA,NA,NA,NA,NA
2/6/24,1023,0.002,NA,NA,NA,NA,NA,NA
2/12/24,1023,0.005,NA,NA,NA,NA,NA,NA
2/18/24,1023,0.009,NA,NA,NA,NA,NA,NA
2/24/24,1023,0.0185,NA,NA,NA,NA,NA,NA
3/1/24,1023,0.013,NA,NA,NA,NA,NA,NA
3/7/24,1023,0.0095,NA,NA,NA,NA,NA,NA
3/13/24,1023,0.0185,NA,NA,NA,NA,NA,NA
3/19/24,1023,0.0155,NA,NA,NA,NA,NA,NA
3/25/24,1023,0.034,NA,NA,NA,NA,NA,NA
3/31/24,1023,0,NA,NA,NA,NA,NA,NA
4/6/24,1023,0.008,NA,NA,NA,NA,NA,NA
4/12/24,1023,0.035,NA,NA,NA,NA,NA,NA
4/18/24,1023,0.009,NA,NA,NA,NA,NA,NA
4/24/24,1023,0.008,NA,NA,NA,NA,NA,NA
4/30/24,1023,0.010499999999999999,NA,NA,NA,NA,NA,NA
5/6/24,1023,0.012,NA,NA,NA,NA,NA,NA
5/12/24,1023,0.002,NA,NA,NA,NA,NA,NA
5/18/24,1023,0.009,NA,NA,NA,NA,NA,NA
5/24/24,1023,0.0125,NA,NA,NA,NA,NA,NA
5/30/24,1023,0.016,NA,NA,NA,NA,NA,NA
6/5/24,1023,0.0035,NA,NA,NA,NA,NA,NA
6/11/24,1023,0.0035,NA,NA,NA,NA,NA,NA
6/17/24,1023,0.020999999999999998,NA,NA,NA,NA,NA,NA
6/23/24,1023,0.016,NA,NA,NA,NA,NA,NA
6/29/24,1023,0.0045,NA,NA,NA,NA,NA,NA
7/5/24,1023,0.0115,NA,NA,NA,NA,NA,NA
7/11/24,1023,0.0155,NA,NA,NA,NA,NA,NA
7/17/24,1023,0.0175,NA,NA,NA,NA,NA,NA
7/23/24,1023,0.013000000000000001,NA,NA,NA,NA,NA,NA
7/29/24,1023,0.0095,NA,NA,NA,NA,NA,NA
8/4/24,1023,0.005,NA,NA,NA,NA,NA,NA
8/10/24,1023,0.015,NA,NA,NA,NA,NA,NA
8/14/24,1023,0.0075,NA,NA,NA,NA,NA,NA
