date_transformed,site_number,TSP,CM,SD,NO2,OZ,PM10,PM2.5
2022-01-05,1023,0.0125,NA,NA,NA,NA,NA,NA
2022-01-11,1023,0.014,NA,NA,NA,NA,NA,NA
2022-01-17,1023,0.0205,NA,NA,NA,NA,NA,NA
2022-01-19,1023,0.0035,NA,NA,NA,NA,NA,NA
2022-01-23,1023,0.009,NA,NA,NA,NA,NA,NA
2022-01-29,1023,0.0135,NA,NA,NA,NA,NA,NA
2022-02-04,1023,0.007,NA,NA,NA,NA,NA,NA
2022-02-10,1023,0.013000000000000001,NA,NA,NA,NA,NA,NA
2022-02-16,1023,0.045,NA,NA,NA,NA,NA,NA
2022-02-22,1023,0.003,NA,NA,NA,NA,NA,NA
2022-02-28,1023,0.0155,NA,NA,NA,NA,NA,NA
2022-03-06,1023,0.0115,NA,NA,NA,NA,NA,NA
2022-03-12,1023,0.015,NA,NA,NA,NA,NA,NA
2022-03-18,1023,0.0265,NA,NA,NA,NA,NA,NA
2022-03-24,1023,0.011,NA,NA,NA,NA,NA,NA
2022-03-30,1023,0.0075,NA,NA,NA,NA,NA,NA
2022-04-05,1023,0.0195,NA,NA,NA,NA,NA,NA
2022-04-11,1023,0.019,NA,NA,NA,NA,NA,NA
2022-04-17,1023,0.001,NA,NA,NA,NA,NA,NA
2022-04-23,1023,0.001,NA,NA,NA,NA,NA,NA
2022-04-29,1023,0.026500000000000003,NA,NA,NA,NA,NA,NA
2022-05-05,1023,0.0045000000000000005,NA,NA,NA,NA,NA,NA
2022-05-11,1023,0.006,NA,NA,NA,NA,NA,NA
2022-05-17,1023,0.025500000000000002,NA,NA,NA,NA,NA,NA
2022-05-23,1023,0.008,NA,NA,NA,NA,NA,NA
2022-05-29,1023,0.0245,NA,NA,NA,NA,NA,NA
2022-06-04,1023,0.004,NA,NA,NA,NA,NA,NA
2022-06-10,1023,0.012,NA,NA,NA,NA,NA,NA
2022-06-16,1023,0.0095,NA,NA,NA,NA,NA,NA
2022-06-22,1023,0.002,NA,NA,NA,NA,NA,NA
2022-06-25,1023,0.002,NA,NA,NA,NA,NA,NA
2022-06-28,1023,0.02,NA,NA,NA,NA,NA,NA
2022-07-04,1023,0.013,NA,NA,NA,NA,NA,NA
2022-07-10,1023,0.0085,NA,NA,NA,NA,NA,NA
2022-07-16,1023,0.0055,NA,NA,NA,NA,NA,NA
2022-07-22,1023,0.019,NA,NA,NA,NA,NA,NA
2022-07-28,1023,0.0075,NA,NA,NA,NA,NA,NA
2022-08-03,1023,0.015,NA,NA,NA,NA,NA,NA
2022-08-09,1023,0.010499999999999999,NA,NA,NA,NA,NA,NA
2022-08-15,1023,0.009,NA,NA,NA,NA,NA,NA
2022-08-17,1023,0.013,NA,NA,NA,NA,NA,NA
2022-08-21,1023,0.0225,NA,NA,NA,NA,NA,NA
2022-08-27,1023,0.0125,NA,NA,NA,NA,NA,NA
2022-09-02,1023,0.0175,NA,NA,NA,NA,NA,NA
2022-09-08,1023,0.006500000000000001,NA,NA,NA,NA,NA,NA
2022-09-14,1023,0.014,NA,NA,NA,NA,NA,NA
2022-09-20,1023,0.003,NA,NA,NA,NA,NA,NA
2022-09-26,1023,0.0155,NA,NA,NA,NA,NA,NA
2022-10-02,1023,0.009,NA,NA,NA,NA,NA,NA
2022-10-08,1023,0.006,NA,NA,NA,NA,NA,NA
2022-10-14,1023,0.018,NA,NA,NA,NA,NA,NA
2022-10-20,1023,0.019,NA,NA,NA,NA,NA,NA
2022-10-26,1023,0.023,NA,NA,NA,NA,NA,NA
2022-11-01,1023,0.03,NA,NA,NA,NA,NA,NA
2022-11-07,1023,0.019,NA,NA,NA,NA,NA,NA
2022-11-13,1023,0.017,NA,NA,NA,NA,NA,NA
2022-11-19,1023,0.0095,NA,NA,NA,NA,NA,NA
2022-11-25,1023,0.006,NA,NA,NA,NA,NA,NA
